TreeDepth,Type,Callback,Module,Symbol,Detail
0,PspLoadImageNotifyRoutine,0x81a6c847,ntoskrnl,EtwpTraceLoadImage,
0,PspCreateProcessNotifyRoutine,0x81860a78,ntoskrnl,ViCreateProcessCallback,
0,PspCreateProcessNotifyRoutine,0x85838f8e,ksecdd,-,
0,PspCreateProcessNotifyRoutine,0x858c53e9,tcpip,-,
0,PspCreateProcessNotifyRoutine,0x8079c65a,CI,-,
0,PspCreateProcessNotifyRoutine,0x932c5c4a,peauth,-,
0,KeBugCheckCallbackListHead,0x81e3cdea,NDIS,-,-
0,KeBugCheckCallbackListHead,0x81e3cdea,NDIS,-,-
0,KeBugCheckCallbackListHead,0x81e3cdea,NDIS,-,-
0,KeBugCheckCallbackListHead,0x81814bdc,hal,-,-
0,KeBugCheckReasonCallbackListHead,0x81fb7a31,Wdf01000,-,PEAUTH
0,KeBugCheckReasonCallbackListHead,0x81fb7a31,Wdf01000,-,monitor
0,KeBugCheckReasonCallbackListHead,0x88c07fb7,VIDEOPRT,-,Videoprt
0,KeBugCheckReasonCallbackListHead,0x81fb7a31,Wdf01000,-,umbus
0,KeBugCheckReasonCallbackListHead,0x88ad3ee6,mssmbios,-,SMBiosData
0,KeBugCheckReasonCallbackListHead,0x88ad3e9e,mssmbios,-,SMBiosRegistry
0,KeBugCheckReasonCallbackListHead,0x88ad3e4e,mssmbios,-,SMBiosRegisters
0,KeBugCheckReasonCallbackListHead,0x88ad3e06,mssmbios,-,SMBiosDataACPI
0,KeBugCheckReasonCallbackListHead,0x81fb7a31,Wdf01000,-,intelppm
0,KeBugCheckReasonCallbackListHead,0x81fb7a31,Wdf01000,-,HDAudBus
0,KeBugCheckReasonCallbackListHead,0x888e34f6,USBPORT,-,USBPORT
0,KeBugCheckReasonCallbackListHead,0x888e35ad,USBPORT,-,USBPORT
0,KeBugCheckReasonCallbackListHead,0x888e3553,USBPORT,-,USBPORT
0,KeBugCheckReasonCallbackListHead,0x88814e66,dxgkrnl,-,\\Device\\DxgKrnl
0,KeBugCheckReasonCallbackListHead,0x81fb7a31,Wdf01000,-,msisadrv
0,KeBugCheckReasonCallbackListHead,0x85749098,ataport,-,IDEP
0,IoRegisterShutdownNotification,0x88c0d10d,VIDEOPRT,-,\\Driver\\RDPCDD
