TreeDepth,PID,Process,Base,Size,Name,Path,LoadTime,File output
0,404,smss.exe,0x47610000,0x12000,-,-,,Disabled
0,404,smss.exe,0x77d00000,0x127000,-,-,,Disabled
0,472,csrss.exe,0x4a130000,0x5000,csrss.exe,C:\\Windows\\system32\\csrss.exe,,Disabled
0,472,csrss.exe,0x77d00000,0x127000,-,-,,Disabled
0,472,csrss.exe,0x764d0000,0xf000,CSRSRV.dll,C:\\Windows\\system32\\CSRSRV.dll,,Disabled
0,472,csrss.exe,0x764b0000,0x13000,basesrv.dll,C:\\Windows\\system32\\basesrv.dll,,Disabled
0,472,csrss.exe,0x76450000,0x60000,winsrv.dll,C:\\Windows\\system32\\winsrv.dll,,Disabled
0,472,csrss.exe,0x765a0000,0x9d000,USER32.dll,C:\\Windows\\system32\\USER32.dll,,Disabled
0,472,csrss.exe,0x76bb0000,0xdb000,KERNEL32.dll,C:\\Windows\\system32\\KERNEL32.dll,,Disabled
0,472,csrss.exe,0x77f10000,0x4b000,GDI32.dll,C:\\Windows\\system32\\GDI32.dll,,Disabled
0,472,csrss.exe,0x779d0000,0xc6000,ADVAPI32.dll,C:\\Windows\\system32\\ADVAPI32.dll,,Disabled
0,472,csrss.exe,0x77c20000,0xc3000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,,Disabled
0,472,csrss.exe,0x76580000,0x9000,LPK.DLL,C:\\Windows\\system32\\LPK.DLL,,Disabled
0,472,csrss.exe,0x77b50000,0x7d000,USP10.dll,C:\\Windows\\system32\\USP10.dll,,Disabled
0,472,csrss.exe,0x77e60000,0xaa000,msvcrt.dll,C:\\Windows\\system32\\msvcrt.dll,,Disabled
0,472,csrss.exe,0x762c0000,0x5f000,sxs.dll,C:\\Windows\\system32\\sxs.dll,,Disabled
0,516,csrss.exe,0x4a130000,0x5000,csrss.exe,C:\\Windows\\system32\\csrss.exe,,Disabled
0,516,csrss.exe,0x77d00000,0x127000,-,-,,Disabled
0,516,csrss.exe,0x764d0000,0xf000,CSRSRV.dll,C:\\Windows\\system32\\CSRSRV.dll,,Disabled
0,516,csrss.exe,0x764b0000,0x13000,basesrv.dll,C:\\Windows\\system32\\basesrv.dll,,Disabled
0,516,csrss.exe,0x76450000,0x60000,winsrv.dll,C:\\Windows\\system32\\winsrv.dll,,Disabled
0,516,csrss.exe,0x765a0000,0x9d000,USER32.dll,C:\\Windows\\system32\\USER32.dll,,Disabled
0,516,csrss.exe,0x76bb0000,0xdb000,KERNEL32.dll,C:\\Windows\\system32\\KERNEL32.dll,,Disabled
0,516,csrss.exe,0x77f10000,0x4b000,GDI32.dll,C:\\Windows\\system32\\GDI32.dll,,Disabled
0,516,csrss.exe,0x779d0000,0xc6000,ADVAPI32.dll,C:\\Windows\\system32\\ADVAPI32.dll,,Disabled
0,516,csrss.exe,0x77c20000,0xc3000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,,Disabled
0,516,csrss.exe,0x76580000,0x9000,LPK.DLL,C:\\Windows\\system32\\LPK.DLL,,Disabled
0,516,csrss.exe,0x77b50000,0x7d000,USP10.dll,C:\\Windows\\system32\\USP10.dll,,Disabled
0,516,csrss.exe,0x77e60000,0xaa000,msvcrt.dll,C:\\Windows\\system32\\msvcrt.dll,,Disabled
0,516,csrss.exe,0x762c0000,0x5f000,sxs.dll,C:\\Windows\\system32\\sxs.dll,,Disabled
0,604,services.exe,0x710000,0x47000,services.exe,C:\\Windows\\system32\\services.exe,,Disabled
0,604,services.exe,0x77d00000,0x127000,ntdll.dll,C:\\Windows\\system32\\ntdll.dll,,Disabled
0,604,services.exe,0x76bb0000,0xdb000,kernel32.dll,C:\\Windows\\system32\\kernel32.dll,,Disabled
0,604,services.exe,0x779d0000,0xc6000,ADVAPI32.dll,C:\\Windows\\system32\\ADVAPI32.dll,,Disabled
0,604,services.exe,0x77c20000,0xc3000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,,Disabled
0,604,services.exe,0x765a0000,0x9d000,USER32.dll,C:\\Windows\\system32\\USER32.dll,,Disabled
0,604,services.exe,0x77f10000,0x4b000,GDI32.dll,C:\\Windows\\system32\\GDI32.dll,,Disabled
0,604,services.exe,0x77e60000,0xaa000,msvcrt.dll,C:\\Windows\\system32\\msvcrt.dll,,Disabled
0,604,services.exe,0x76410000,0x1e000,USERENV.dll,C:\\Windows\\system32\\USERENV.dll,,Disabled
0,604,services.exe,0x76430000,0x14000,Secur32.dll,C:\\Windows\\system32\\Secur32.dll,,Disabled
0,604,services.exe,0x76330000,0x4e000,SCESRV.dll,C:\\Windows\\system32\\SCESRV.dll,,Disabled
0,604,services.exe,0x763c0000,0x16000,AUTHZ.dll,C:\\Windows\\system32\\AUTHZ.dll,,Disabled
0,604,services.exe,0x76100000,0x75000,NETAPI32.dll,C:\\Windows\\system32\\NETAPI32.dll,,Disabled
0,604,services.exe,0x76570000,0x7000,PSAPI.DLL,C:\\Windows\\system32\\PSAPI.DLL,,Disabled
0,604,services.exe,0x760f0000,0xf000,NCObjAPI.DLL,C:\\Windows\\system32\\NCObjAPI.DLL,,Disabled
0,604,services.exe,0x77b30000,0x1e000,IMM32.DLL,C:\\Windows\\system32\\IMM32.DLL,,Disabled
0,604,services.exe,0x76640000,0xc8000,MSCTF.dll,C:\\Windows\\system32\\MSCTF.dll,,Disabled
0,604,services.exe,0x76580000,0x9000,LPK.DLL,C:\\Windows\\system32\\LPK.DLL,,Disabled
0,604,services.exe,0x77b50000,0x7d000,USP10.dll,C:\\Windows\\system32\\USP10.dll,,Disabled
0,604,services.exe,0x75ca0000,0x7000,credssp.dll,C:\\Windows\\system32\\credssp.dll,,Disabled
0,604,services.exe,0x75e80000,0xf1000,CRYPT32.dll,C:\\Windows\\system32\\CRYPT32.dll,,Disabled
0,604,services.exe,0x75fe0000,0x12000,MSASN1.dll,C:\\Windows\\system32\\MSASN1.dll,,Disabled
0,604,services.exe,0x75990000,0x44000,schannel.dll,C:\\Windows\\system32\\schannel.dll,,Disabled
0,604,services.exe,0x76380000,0x2c000,apphelp.dll,C:\\Windows\\system32\\apphelp.dll,,Disabled
0,604,services.exe,0x75880000,0x21000,NTMARTA.DLL,C:\\Windows\\system32\\NTMARTA.DLL,,Disabled
0,604,services.exe,0x77bd0000,0x4a000,WLDAP32.dll,C:\\Windows\\system32\\WLDAP32.dll,,Disabled
0,604,services.exe,0x76c90000,0x2d000,WS2_32.dll,C:\\Windows\\system32\\WS2_32.dll,,Disabled
0,604,services.exe,0x76590000,0x6000,NSI.dll,C:\\Windows\\system32\\NSI.dll,,Disabled
0,604,services.exe,0x76000000,0x11000,SAMLIB.dll,C:\\Windows\\system32\\SAMLIB.dll,,Disabled
0,604,services.exe,0x76d20000,0x144000,ole32.dll,C:\\Windows\\system32\\ole32.dll,,Disabled
0,604,services.exe,0x75ba0000,0x3b000,mswsock.dll,C:\\Windows\\system32\\mswsock.dll,,Disabled
0,604,services.exe,0x75850000,0x5000,wshtcpip.dll,C:\\Windows\\System32\\wshtcpip.dll,,Disabled
0,604,services.exe,0x75c00000,0x5000,wship6.dll,C:\\Windows\\System32\\wship6.dll,,Disabled
0,616,lsass.exe,0x960000,0x6000,lsass.exe,C:\\Windows\\system32\\lsass.exe,,Disabled
0,616,lsass.exe,0x77d00000,0x127000,ntdll.dll,C:\\Windows\\system32\\ntdll.dll,,Disabled
0,616,lsass.exe,0x76bb0000,0xdb000,kernel32.dll,C:\\Windows\\system32\\kernel32.dll,,Disabled
0,616,lsass.exe,0x779d0000,0xc6000,ADVAPI32.dll,C:\\Windows\\system32\\ADVAPI32.dll,,Disabled
0,616,lsass.exe,0x77c20000,0xc3000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,,Disabled
0,616,lsass.exe,0x77e60000,0xaa000,msvcrt.dll,C:\\Windows\\system32\\msvcrt.dll,,Disabled
0,616,lsass.exe,0x76180000,0x135000,LSASRV.dll,C:\\Windows\\system32\\LSASRV.dll,,Disabled
0,616,lsass.exe,0x76430000,0x14000,Secur32.dll,C:\\Windows\\system32\\Secur32.dll,,Disabled
0,616,lsass.exe,0x765a0000,0x9d000,USER32.dll,C:\\Windows\\system32\\USER32.dll,,Disabled
0,616,lsass.exe,0x77f10000,0x4b000,GDI32.dll,C:\\Windows\\system32\\GDI32.dll,,Disabled
0,616,lsass.exe,0x76070000,0x7a000,SAMSRV.dll,C:\\Windows\\system32\\SAMSRV.dll,,Disabled
0,616,lsass.exe,0x76050000,0x11000,cryptdll.dll,C:\\Windows\\system32\\cryptdll.dll,,Disabled
0,616,lsass.exe,0x76020000,0x2c000,DNSAPI.dll,C:\\Windows\\system32\\DNSAPI.dll,,Disabled
0,616,lsass.exe,0x76c90000,0x2d000,WS2_32.dll,C:\\Windows\\system32\\WS2_32.dll,,Disabled
0,616,lsass.exe,0x76590000,0x6000,NSI.dll,C:\\Windows\\system32\\NSI.dll,,Disabled
0,616,lsass.exe,0x76100000,0x75000,NETAPI32.dll,C:\\Windows\\system32\\NETAPI32.dll,,Disabled
0,616,lsass.exe,0x76570000,0x7000,PSAPI.DLL,C:\\Windows\\system32\\PSAPI.DLL,,Disabled
0,616,lsass.exe,0x76000000,0x11000,SAMLIB.dll,C:\\Windows\\system32\\SAMLIB.dll,,Disabled
0,616,lsass.exe,0x75fe0000,0x12000,MSASN1.dll,C:\\Windows\\system32\\MSASN1.dll,,Disabled
0,616,lsass.exe,0x75fc0000,0x18000,NTDSAPI.dll,C:\\Windows\\system32\\NTDSAPI.dll,,Disabled
0,616,lsass.exe,0x77bd0000,0x4a000,WLDAP32.dll,C:\\Windows\\system32\\WLDAP32.dll,,Disabled
0,616,lsass.exe,0x75fa0000,0x11000,FeClient.dll,C:\\Windows\\system32\\FeClient.dll,,Disabled
0,616,lsass.exe,0x75f80000,0x14000,MPR.dll,C:\\Windows\\system32\\MPR.dll,,Disabled
0,616,lsass.exe,0x76410000,0x1e000,USERENV.dll,C:\\Windows\\system32\\USERENV.dll,,Disabled
