TreeDepth,Offset,Start,Size,Service Key,Driver Name,Name
0,0x133f1c8,0x88a07000,0x1400,vmusbmouse,vmusbmouse,\\Driver\\vmusbmouse
0,0x2016030,0x859b1000,0x1a000,Serial,Serial,\\Driver\\Serial
0,0x2016dc8,0x859cb000,0xa000,Serenum,Serenum,\\Driver\\Serenum
0,0x22dfb30,0x889ea000,0x15000,RasSstp,RasSstp,\\Driver\\RasSstp
0,0x24719b8,0x0,0x0,-,RAW,\\FileSystem\\RAW
0,0x2b0bc80,0x93312000,0x27000,srv2,srv2,\\FileSystem\\srv2
0,0x2fb2cd0,0x8183a000,0x0,\\Driver\\WMIxWDM,WMIxWDM,\\Driver\\WMIxWDM
0,0x2fbd198,0x81807000,0x0,\\Driver\\ACPI_HAL,ACPI_HAL,\\Driver\\ACPI_HAL
0,0x31792d0,0x88da5000,0xa000,nsiproxy,nsiproxy,\\Driver\\nsiproxy
0,0x3222848,0x81e0b000,0x10b000,NDIS,NDIS,\\Driver\\NDIS
0,0x333b7d0,0x93385000,0x16000,cdfs,cdfs,\\FileSystem\\cdfs
0,0x39166d8,0x8183a000,0x0,\\Driver\\PnpManager,PnpManager,\\Driver\\PnpManager
0,0x3a244f8,0x856fc000,0x7000,intelide,intelide,\\Driver\\intelide
0,0x439b3d8,0x8068a000,0x41000,CLFS,CLFS,\\Driver\\CLFS
0,0x51c0388,0x889d6000,0x14000,PptpMiniport,PptpMiniport,\\Driver\\PptpMiniport
0,0x5e53b30,0x889ea000,0x15000,RasSstp,RasSstp,\\Driver\\RasSstp
0,0x1e09c680,0x933e9000,0x3d80,ad_driver,ad_driver,\\Driver\\ad_driver
0,0x1e201c30,0x932e9000,0x1d000,srvnet,srvnet,\\FileSystem\\srvnet
0,0x1e204650,0x93306000,0xc000,tcpipreg,tcpipreg,\\Driver\\tcpipreg
0,0x1e226c80,0x93312000,0x27000,srv2,srv2,\\FileSystem\\srv2
0,0x1e227030,0x93339000,0x4c000,srv,srv,\\FileSystem\\srv
0,0x1e3777d0,0x93385000,0x16000,cdfs,cdfs,\\FileSystem\\cdfs
0,0x1e39d948,0x933a6000,0xc000,tssecsrv,tssecsrv,\\Driver\\tssecsrv
0,0x1e3a0598,0x933b2000,0x33000,RDPWD,RDPWD,\\Driver\\RDPWD
0,0x1e505940,0x928f6000,0x15000,mpsdrv,mpsdrv,\\Driver\\mpsdrv
0,0x1e52d590,0x92984000,0x6b000,HTTP,HTTP,\\Driver\\HTTP
0,0x1e544a20,0x9281b000,0x13000,rspndr,rspndr,\\Driver\\rspndr
0,0x1e544e00,0x9280b000,0x10000,lltdio,lltdio,\\Driver\\lltdio
0,0x1e582d08,0x928dd000,0x19000,bowser,bowser,\\FileSystem\\bowser
0,0x1e583588,0x9292a000,0x39000,mrxsmb10,mrxsmb10,\\FileSystem\\mrxsmb10
0,0x1e5837f8,0x9290b000,0x1f000,mrxsmb,mrxsmb,\\FileSystem\\mrxsmb
0,0x1e586de0,0x92963000,0x18000,mrxsmb20,mrxsmb20,\\FileSystem\\mrxsmb20
0,0x1e5b74e0,0x9297b000,0x9000,AsyncMac,AsyncMac,\\Driver\\AsyncMac
0,0x1e5d4100,0x929f6000,0x2080,VMMEMCTL,VMMEMCTL,\\Driver\\VMMEMCTL
0,0x1e5d43b0,0x929ef000,0x7000,Parvdm,Parvdm,\\Driver\\Parvdm
0,0x1e5e0b30,0x929f9000,0x7000,NPF,NPF,\\Driver\\NPF
0,0x1e5f2d18,0x93201000,0xde000,PEAUTH,PEAUTH,\\Driver\\PEAUTH
0,0x1e5fd708,0x932df000,0xa000,secdrv,secdrv,\\Driver\\secdrv
0,0x1e8048a8,0x8cc90000,0x0,\\Driver\\Win32k,Win32k,\\Driver\\Win32k
0,0x1e81e858,0x85baf000,0xf000,monitor,monitor,\\Driver\\monitor
