TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,4,System,0x82db0910,0x4,Process,0x1fffff,System Pid 4
0,4,System,0x86213398,0x8,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\HIVELIST
0,4,System,0x8620aa90,0xc,Key,0x0,-
0,4,System,0x8625e770,0x10,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\PRODUCTOPTIONS
0,4,System,0x8625cd68,0x14,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\SESSION MANAGER\\MEMORY MANAGEMENT\\PREFETCHPARAMETERS
0,4,System,0x87a4dad0,0x18,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS\\{4D36E96C-E325-11CE-BFC1-08002BE10318}\\0000\\MIXERSETTINGS
0,4,System,0x86261188,0x1c,Key,0x2001f,MACHINE\\SYSTEM\\SETUP
0,4,System,0x862d7138,0x20,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\WMI\\SECURITY
0,4,System,0x86246210,0x24,Key,0x20019,MACHINE\\HARDWARE\\DESCRIPTION\\SYSTEM\\MULTIFUNCTIONADAPTER
0,4,System,0x82ee33b0,0x28,Thread,0x1fffff,Tid 184 Pid 4
0,4,System,0x83ee14e0,0x2c,Thread,0x0,Tid 304 Pid 4
0,4,System,0x88406f18,0x30,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS\\{4D36E96C-E325-11CE-BFC1-08002BE10318}\\0000\\INITVERBS
0,4,System,0x86368020,0x34,Token,0xe,-
0,4,System,0x8842d938,0x38,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS\\{4D36E96C-E325-11CE-BFC1-08002BE10318}\\0000\\MIXERSETTINGS
0,4,System,0x863ba830,0x3c,Key,0x20019,MACHINE\\HARDWARE\\DESCRIPTION\\SYSTEM\\BIOS
0,4,System,0x88419690,0x40,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS\\{4D36E96C-E325-11CE-BFC1-08002BE10318}\\0000\\MIXERSETTINGS
0,4,System,0x862d5020,0x44,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS\\{4D36E96C-E325-11CE-BFC1-08002BE10318}\\0000\\MIXERSETTINGS
0,4,System,0x884011d0,0x48,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\DISK
0,4,System,0x87a52480,0x4c,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS\\{4D36E96C-E325-11CE-BFC1-08002BE10318}\\0000\\MIXERSETTINGS
0,4,System,0x8625d3a8,0x50,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS\\{4D36E96C-E325-11CE-BFC1-08002BE10318}\\0000\\MIXERSETTINGS
0,4,System,0x88423eb0,0x54,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS\\{4D36E96C-E325-11CE-BFC1-08002BE10318}\\0000\\MIXERSETTINGS
0,4,System,0x8633a850,0x58,Key,0xf003f,MACHINE\\HARDWARE\\DEVICEMAP\\SCSI\\SCSI PORT 3\\SCSI BUS 0
0,4,System,0x836b1b40,0x5c,File,0x120116,\\Device\\Mup
0,4,System,0x8841c6f0,0x60,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS\\{4D36E96C-E325-11CE-BFC1-08002BE10318}\\0000\\MIXERSETTINGS
0,4,System,0x8362da08,0x64,TmRm,0x12007f,-
0,4,System,0x8362a810,0x68,TmTm,0xf003f,-
0,4,System,0x8362d028,0x6c,TmRm,0x1f007f,-
0,4,System,0x8362a6b0,0x70,File,0x12019f,\\Device\\clfsKtmLog
0,4,System,0x83629b78,0x74,File,0x13019f,\\Device\\clfs\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0x83623d90,0x78,File,0x12019f,\\Device\\clfs\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0x835e0408,0x7c,File,0x1,\\Device\\HarddiskVolume1
0,4,System,0x8314a600,0x80,File,0x13019f,\\Device\\clfs\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0x835e0870,0x84,File,0x12019f,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000002
