TreeDepth,Pid,Process,Base,InLoad,InInit,InMem,MappedPath
0,4,System,0x77d00000,False,False,False,\\Windows\\System32\\ntdll.dll
0,404,smss.exe,0x77d00000,True,True,True,\\Windows\\System32\\ntdll.dll
0,404,smss.exe,0x47610000,True,False,True,\\Windows\\System32\\smss.exe
0,472,csrss.exe,0x110000,False,False,False,\\Windows\\System32\\en-US\\csrss.exe.mui
0,472,csrss.exe,0x130000,False,False,False,\\Windows\\Fonts\\vgasys.fon
0,472,csrss.exe,0x1e0000,False,False,False,\\Windows\\Fonts\\vgaoem.fon
0,472,csrss.exe,0x350000,False,False,False,\\Windows\\Fonts\\cga40woa.fon
0,472,csrss.exe,0x230000,False,False,False,\\Windows\\Fonts\\dosapp.fon
0,472,csrss.exe,0x360000,False,False,False,\\Windows\\Fonts\\cga80woa.fon
0,472,csrss.exe,0xb80000,False,False,False,\\Windows\\System32\\en-US\\user32.dll.mui
0,472,csrss.exe,0xb70000,False,False,False,\\Windows\\Fonts\\ega40woa.fon
0,472,csrss.exe,0x765a0000,True,True,True,\\Windows\\System32\\user32.dll
0,472,csrss.exe,0x4a130000,True,False,True,\\Windows\\System32\\csrss.exe
0,472,csrss.exe,0x762c0000,True,True,True,\\Windows\\System32\\sxs.dll
0,472,csrss.exe,0x76450000,True,True,True,\\Windows\\System32\\winsrv.dll
0,516,csrss.exe,0x200000,False,False,False,\\Windows\\Fonts\\vgasys.fon
0,516,csrss.exe,0xa50000,False,False,False,\\Windows\\System32\\en-US\\user32.dll.mui
0,516,csrss.exe,0x4a130000,True,False,True,\\Windows\\System32\\csrss.exe
0,516,csrss.exe,0x765a0000,True,True,True,\\Windows\\System32\\user32.dll
0,516,csrss.exe,0x76450000,True,True,True,\\Windows\\System32\\winsrv.dll
0,516,csrss.exe,0x76bb0000,True,True,True,\\Windows\\System32\\kernel32.dll
0,516,csrss.exe,0x77f10000,True,True,True,\\Windows\\System32\\gdi32.dll
0,524,wininit.exe,0x75ba0000,False,False,False,\\Windows\\System32\\mswsock.dll
0,524,wininit.exe,0x75850000,False,False,False,\\Windows\\System32\\WSHTCPIP.DLL
0,524,wininit.exe,0x75990000,False,False,False,\\Windows\\System32\\schannel.dll
0,524,wininit.exe,0x75ca0000,False,False,False,\\Windows\\System32\\credssp.dll
0,524,wininit.exe,0x75c00000,False,False,False,\\Windows\\System32\\wship6.dll
0,524,wininit.exe,0x76380000,False,False,False,\\Windows\\System32\\apphelp.dll
0,524,wininit.exe,0x77d00000,False,False,False,\\Windows\\System32\\ntdll.dll
0,552,winlogon.exe,0x76430000,False,False,False,\\Windows\\System32\\secur32.dll
0,552,winlogon.exe,0x9c0000,False,False,False,\\Windows\\System32\\winlogon.exe
0,552,winlogon.exe,0x74970000,False,False,False,\\Windows\\System32\\shsvcs.dll
0,552,winlogon.exe,0x76570000,False,False,False,\\Windows\\System32\\psapi.dll
0,552,winlogon.exe,0x76590000,False,False,False,\\Windows\\System32\\nsi.dll
0,552,winlogon.exe,0x77b30000,False,False,False,\\Windows\\System32\\imm32.dll
