TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0x1cde008,UDPv4,0.0.0.0,56153,*,0,,1088,svchost.exe,2014-01-08 02:17:50.000000 UTC
0,0x1cde008,UDPv6,::,56153,*,0,,1088,svchost.exe,2014-01-08 02:17:50.000000 UTC
0,0x1cde490,UDPv4,0.0.0.0,56152,*,0,,1088,svchost.exe,2014-01-08 02:17:50.000000 UTC
0,0x3c45008,UDPv4,0.0.0.0,1701,*,0,,4,System,2014-01-08 02:19:53.000000 UTC
0,0x3c45008,UDPv6,::,1701,*,0,,4,System,2014-01-08 02:19:53.000000 UTC
0,0x4ff9de0,TCPv4,0.0.0.0,1031,0.0.0.0,0,LISTENING,604,services.exe,
0,0x4ff9de0,TCPv6,::,1031,::,0,LISTENING,604,services.exe,
0,0x7f68de0,TCPv4,0.0.0.0,1031,0.0.0.0,0,LISTENING,604,services.exe,
0,0x7f68de0,TCPv6,::,1031,::,0,LISTENING,604,services.exe,
0,0x8231008,UDPv4,0.0.0.0,1701,*,0,,4,System,2014-01-08 02:19:53.000000 UTC
0,0x8231008,UDPv6,::,1701,*,0,,4,System,2014-01-08 02:19:53.000000 UTC
0,0x886bde0,TCPv4,0.0.0.0,1031,0.0.0.0,0,LISTENING,604,services.exe,
0,0x886bde0,TCPv6,::,1031,::,0,LISTENING,604,services.exe,
0,0x1e0ea430,TCPv4,0.0.0.0,1723,0.0.0.0,0,LISTENING,4,System,
0,0x1e0ec008,UDPv4,0.0.0.0,1701,*,0,,4,System,2014-01-08 02:19:53.000000 UTC
0,0x1e0ec008,UDPv6,::,1701,*,0,,4,System,2014-01-08 02:19:53.000000 UTC
0,0x1e0ef008,UDPv6,::1,65012,*,0,,1000,svchost.exe,2014-01-08 02:19:54.000000 UTC
0,0x1e0f3a08,UDPv6,::1,65011,*,0,,1000,svchost.exe,2014-01-08 02:19:54.000000 UTC
0,0x1e10a878,UDPv4,192.168.119.191,137,*,0,,4,System,2014-01-08 17:29:33.000000 UTC
0,0x1e13f6f8,TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,
0,0x1e13f6f8,TCPv6,::,445,::,0,LISTENING,4,System,
0,0x1e143e10,TCPv4,-,1399,54.213.58.70,80,CLOSED,1888,iexplore.exe,-
0,0x1e159008,TCPv4,192.168.119.191,139,0.0.0.0,0,LISTENING,4,System,
0,0x1e168008,TCPv4,-,1392,54.230.117.162,80,CLOSED,1888,iexplore.exe,-
0,0x1e172c30,TCPv4,-,1424,93.184.216.139,80,CLOSED,1888,iexplore.exe,-
0,0x1e18de10,TCPv4,-,1407,23.214.3.146,80,CLOSED,1888,iexplore.exe,-
0,0x1e20c050,UDPv4,0.0.0.0,0,*,0,,1620,snmp.exe,2014-01-08 02:17:49.000000 UTC
0,0x1e20c050,UDPv6,::,0,*,0,,1620,snmp.exe,2014-01-08 02:17:49.000000 UTC
0,0x1e20c280,UDPv4,0.0.0.0,52325,*,0,,1620,snmp.exe,2014-01-08 02:17:49.000000 UTC
0,0x1e20d9b8,UDPv4,0.0.0.0,161,*,0,,1620,snmp.exe,2014-01-08 02:17:49.000000 UTC
0,0x1e20d9b8,UDPv6,::,161,*,0,,1620,snmp.exe,2014-01-08 02:17:49.000000 UTC
0,0x1e20e3c8,UDPv4,0.0.0.0,4500,*,0,,1000,svchost.exe,2014-01-08 02:17:49.000000 UTC
0,0x1e20ee40,UDPv4,0.0.0.0,161,*,0,,1620,snmp.exe,2014-01-08 02:17:49.000000 UTC
0,0x1e210330,UDPv4,0.0.0.0,500,*,0,,1000,svchost.exe,2014-01-08 02:17:49.000000 UTC
0,0x1e2127e0,UDPv4,0.0.0.0,500,*,0,,1000,svchost.exe,2014-01-08 02:17:49.000000 UTC
0,0x1e2127e0,UDPv6,::,500,*,0,,1000,svchost.exe,2014-01-08 02:17:49.000000 UTC
0,0x1e213f58,UDPv4,0.0.0.0,0,*,0,,1000,svchost.exe,2014-01-08 02:17:49.000000 UTC
0,0x1e214ad0,UDPv4,0.0.0.0,0,*,0,,1000,svchost.exe,2014-01-08 02:17:49.000000 UTC
0,0x1e214ad0,UDPv6,::,0,*,0,,1000,svchost.exe,2014-01-08 02:17:49.000000 UTC
0,0x1e22da48,UDPv4,0.0.0.0,0,*,0,,1088,svchost.exe,2014-01-08 02:17:49.000000 UTC
0,0x1e230e40,UDPv4,0.0.0.0,0,*,0,,1088,svchost.exe,2014-01-08 02:17:49.000000 UTC
0,0x1e230e40,UDPv6,::,0,*,0,,1088,svchost.exe,2014-01-08 02:17:49.000000 UTC
