TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output
0,4,0,System,0x82db0910,100,541,,False,2014-01-08 02:17:35.000000 UTC,,Disabled
0,404,4,smss.exe,0x8454c118,4,28,,False,2014-01-08 02:17:35.000000 UTC,,Disabled
0,472,460,csrss.exe,0x84561968,11,466,0.0,False,2014-01-08 02:17:35.000000 UTC,,Disabled
0,516,508,csrss.exe,0x84450770,10,305,1.0,False,2014-01-08 02:17:36.000000 UTC,,Disabled
0,524,460,wininit.exe,0x84453770,3,98,0.0,False,2014-01-08 02:17:36.000000 UTC,,Disabled
0,552,508,winlogon.exe,0x84465770,3,116,1.0,False,2014-01-08 02:17:36.000000 UTC,,Disabled
0,604,524,services.exe,0x83632170,6,250,0.0,False,2014-01-08 02:17:36.000000 UTC,,Disabled
0,616,524,lsass.exe,0x844bf770,13,610,0.0,False,2014-01-08 02:17:36.000000 UTC,,Disabled
0,624,524,lsm.exe,0x844c2680,10,208,0.0,False,2014-01-08 02:17:36.000000 UTC,,Disabled
0,788,604,svchost.exe,0x84866d50,6,298,0.0,False,2014-01-08 02:17:42.000000 UTC,,Disabled
0,848,604,svchost.exe,0x845f37a8,8,280,0.0,False,2014-01-08 02:17:42.000000 UTC,,Disabled
0,884,604,svchost.exe,0x848fa118,15,274,0.0,False,2014-01-08 02:17:42.000000 UTC,,Disabled
0,976,604,svchost.exe,0x84914d90,6,152,0.0,False,2014-01-08 02:17:42.000000 UTC,,Disabled
0,1000,604,svchost.exe,0x8491bd90,45,2072,0.0,False,2014-01-08 02:17:42.000000 UTC,,Disabled
0,1056,604,SLsvc.exe,0x8492a6d0,4,96,0.0,False,2014-01-08 02:17:42.000000 UTC,,Disabled
0,1088,604,svchost.exe,0x84937d90,17,567,0.0,False,2014-01-08 02:17:42.000000 UTC,,Disabled
0,1160,604,svchost.exe,0x84941d90,20,265,0.0,False,2014-01-08 02:17:42.000000 UTC,,Disabled
0,1188,604,svchost.exe,0x84945c30,22,596,0.0,False,2014-01-08 02:17:42.000000 UTC,,Disabled
0,1308,604,svchost.exe,0x8496e9f0,17,265,0.0,False,2014-01-08 02:17:43.000000 UTC,,Disabled
0,1424,604,spoolsv.exe,0x849c18a8,17,291,0.0,False,2014-01-08 02:17:49.000000 UTC,,Disabled
0,1460,604,armsvc.exe,0x849d7610,2,56,0.0,False,2014-01-08 02:17:49.000000 UTC,,Disabled
0,1480,604,dns.exe,0x849dcd90,10,164,0.0,False,2014-01-08 02:17:49.000000 UTC,,Disabled
0,1508,604,ftpbasicsvr.exe,0x849e1cc0,2,52,0.0,False,2014-01-08 02:17:49.000000 UTC,,Disabled
0,1576,604,svchost.exe,0x849f5888,5,124,0.0,False,2014-01-08 02:17:49.000000 UTC,,Disabled
0,1604,604,svchost.exe,0x849faad8,3,73,0.0,False,2014-01-08 02:17:49.000000 UTC,,Disabled
0,1620,604,snmp.exe,0x849f7380,4,147,0.0,False,2014-01-08 02:17:49.000000 UTC,,Disabled
0,1640,604,vmtoolsd.exe,0x84a0b020,7,273,0.0,False,2014-01-08 02:17:49.000000 UTC,,Disabled
0,1696,604,svchost.exe,0x84a21d90,4,44,0.0,False,2014-01-08 02:17:49.000000 UTC,,Disabled
0,832,604,TPAutoConnSvc.e,0x83066b68,9,136,0.0,False,2014-01-08 02:17:52.000000 UTC,,Disabled
0,1924,604,dllhost.exe,0x84ba8d90,13,240,0.0,False,2014-01-08 02:17:53.000000 UTC,,Disabled
0,1572,604,msdtc.exe,0x84bb7ca8,11,167,0.0,False,2014-01-08 02:17:53.000000 UTC,,Disabled
0,2096,1000,taskeng.exe,0x84ba1c30,5,137,0.0,False,2014-01-08 02:17:53.000000 UTC,,Disabled
0,2352,1000,taskeng.exe,0x84c13020,10,250,1.0,False,2014-01-08 02:18:17.000000 UTC,,Disabled
0,2368,552,userinit.exe,0x84c148e8,0,-,1.0,False,2014-01-08 02:18:17.000000 UTC,2014-01-08 02:18:43.000000 UTC,Disabled
0,2392,1160,dwm.exe,0x84c1d020,3,76,1.0,False,2014-01-08 02:18:17.000000 UTC,,Disabled
0,2480,832,TPAutoConnect.e,0x84c2c898,2,103,1.0,False,2014-01-08 02:18:17.000000 UTC,,Disabled
0,2496,2368,explorer.exe,0x84c2c020,24,689,1.0,False,2014-01-08 02:18:17.000000 UTC,,Disabled
0,2580,2496,vmtoolsd.exe,0x84c5e020,6,9004,1.0,False,2014-01-08 02:18:18.000000 UTC,,Disabled
0,2592,2496,AdobeARM.exe,0x84c5f020,6,282,1.0,False,2014-01-08 02:18:18.000000 UTC,,Disabled
0,2616,2592,reader_sl.exe,0x84c537b0,0,-,1.0,False,2014-01-08 02:18:18.000000 UTC,2014-01-08 02:19:20.000000 UTC,Disabled
0,2720,2444,Oobe.exe,0x84c11298,0,-,1.0,False,2014-01-08 02:18:22.000000 UTC,2014-01-08 02:55:43.000000 UTC,Disabled
0,3224,604,svchost.exe,0x84c73b60,9,228,0.0,False,2014-01-08 02:19:53.000000 UTC,,Disabled
0,3336,788,iashost.exe,0x84ce3020,2,97,0.0,False,2014-01-08 02:19:53.000000 UTC,,Disabled
0,3680,1000,wuauclt.exe,0x84bd8020,2,139,1.0,False,2014-01-08 02:20:55.000000 UTC,,Disabled
0,3920,2496,notepad.exe,0x84c64a50,1,51,1.0,False,2014-01-08 03:19:07.000000 UTC,,Disabled
0,1800,2496,FTK Imager.exe,0x84cfd958,5,251,1.0,False,2014-01-08 03:19:32.000000 UTC,,Disabled
0,1888,2496,iexplore.exe,0x848ab618,14,641,1.0,False,2014-01-08 03:20:24.000000 UTC,,Disabled
0,2708,2496,notepad.exe,0x848a1340,1,45,1.0,False,2014-01-08 17:33:08.000000 UTC,,Disabled
