TreeDepth,Index,Address,Module,Symbol
0,0,0x819f4949,ntoskrnl,NtAcceptConnectPort
0,1,0x8186101f,ntoskrnl,NtAccessCheck
0,2,0x81a289bd,ntoskrnl,NtAccessCheckAndAuditAlarm
0,3,0x81866181,ntoskrnl,NtAccessCheckByType
0,4,0x81a288dd,ntoskrnl,NtAccessCheckByTypeAndAuditAlarm
0,5,0x8191aba0,ntoskrnl,NtAccessCheckByTypeResultList
0,6,0x81adb845,ntoskrnl,NtAccessCheckByTypeResultListAndAuditAlarm
0,7,0x81adb88e,ntoskrnl,NtAccessCheckByTypeResultListAndAuditAlarmByHandle
0,8,0x819f6ba9,ntoskrnl,NtAddAtom
0,9,0x81af0836,ntoskrnl,NtAddBootEntry
0,10,0x81af1ada,ntoskrnl,NtAddDriverEntry
0,11,0x81a1e8ea,ntoskrnl,NtAdjustGroupsToken
0,12,0x81a1f885,ntoskrnl,NtAdjustPrivilegesToken
0,13,0x81acf757,ntoskrnl,NtAlertResumeThread
0,14,0x81a34e59,ntoskrnl,NtAlertThread
0,15,0x81a14cd1,ntoskrnl,NtAllocateLocallyUniqueId
0,16,0x81ac1555,ntoskrnl,NtAllocateUserPhysicalPages
0,17,0x819e0f81,ntoskrnl,NtAllocateUuids
0,18,0x81a6c9b9,ntoskrnl,NtAllocateVirtualMemory
0,19,0x81a2725a,ntoskrnl,NtAlpcAcceptConnectPort
0,20,0x819ee30d,ntoskrnl,NtAlpcCancelMessage
0,21,0x81a2607f,ntoskrnl,NtAlpcConnectPort
0,22,0x819f678a,ntoskrnl,NtAlpcCreatePort
0,23,0x81a373e0,ntoskrnl,NtAlpcCreatePortSection
0,24,0x819ec7fc,ntoskrnl,NtAlpcCreateResourceReserve
0,25,0x81a371b0,ntoskrnl,NtAlpcCreateSectionView
0,26,0x81a30b9e,ntoskrnl,NtAlpcCreateSecurityContext
0,27,0x81a1a1c1,ntoskrnl,NtAlpcDeletePortSection
0,28,0x81abd01d,ntoskrnl,NtAlpcDeleteResourceReserve
0,29,0x81a1f299,ntoskrnl,NtAlpcDeleteSectionView
0,30,0x81a31170,ntoskrnl,NtAlpcDeleteSecurityContext
0,31,0x81a200b1,ntoskrnl,NtAlpcDisconnectPort
0,32,0x81a2c459,ntoskrnl,NtAlpcImpersonateClientOfPort
0,33,0x819f7a66,ntoskrnl,NtAlpcOpenSenderProcess
0,34,0x819f9b1a,ntoskrnl,NtAlpcOpenSenderThread
0,35,0x81a20153,ntoskrnl,NtAlpcQueryInformation
0,36,0x81a34fd4,ntoskrnl,NtAlpcQueryInformationMessage
0,37,0x81abd140,ntoskrnl,NtAlpcRevokeSecurityContext
0,38,0x81a659ec,ntoskrnl,NtAlpcSendWaitReceivePort
0,39,0x81a12957,ntoskrnl,NtAlpcSetInformation
0,40,0x81a07a2f,ntoskrnl,NtApphelpCacheControl
0,41,0x81a8936c,ntoskrnl,NtAreMappedFilesTheSame
0,42,0x819fa198,ntoskrnl,NtAssignProcessToJobObject
0,43,0x818f341c,ntoskrnl,NtCallbackReturn
0,44,0x81aa5698,ntoskrnl,NtCancelDeviceWakeupRequest
0,44,0x81aa5698,ntoskrnl,NtRequestDeviceWakeup
0,44,0x81aa5698,ntoskrnl,xHalLoadMicrocode
0,45,0x819ed50a,ntoskrnl,NtCancelIoFile
0,46,0x8186638a,ntoskrnl,NtCancelTimer
0,47,0x81a84864,ntoskrnl,NtClearEvent
0,48,0x81a577f5,ntoskrnl,NtClose
0,49,0x81a28802,ntoskrnl,NtCloseObjectAuditAlarm
0,50,0x81a90c54,ntoskrnl,NtCompactKeys
0,51,0x819f105b,ntoskrnl,NtCompareTokens
0,52,0x819f49c6,ntoskrnl,NtCompleteConnectPort
0,53,0x81a90edf,ntoskrnl,NtCompressKey
0,54,0x81a066f6,ntoskrnl,NtConnectPort
0,55,0x818954f8,ntoskrnl,NtContinue
0,56,0x81aa0560,ntoskrnl,NtCreateDebugObject
0,57,0x81a134ce,ntoskrnl,NtCreateDirectoryObject
0,58,0x81a625c8,ntoskrnl,NtCreateEvent
0,59,0x81af5ef0,ntoskrnl,NtCreateEventPair
0,60,0x81a60eaa,ntoskrnl,NtCreateFile
0,61,0x81a06007,ntoskrnl,NtCreateIoCompletion
0,62,0x819e5652,ntoskrnl,NtCreateJobObject
0,63,0x81ad14c9,ntoskrnl,NtCreateJobSet
0,64,0x81a21b34,ntoskrnl,NtCreateKey
0,65,0x819b67ff,ntoskrnl,NtCreateKeyTransacted
0,66,0x819d99c2,ntoskrnl,NtCreateMailslotFile
0,67,0x81a70ac8,ntoskrnl,NtCreateMutant
0,68,0x81a07fad,ntoskrnl,NtCreateNamedPipeFile
0,69,0x819d4098,ntoskrnl,NtCreatePrivateNamespace
0,70,0x8198b60b,ntoskrnl,NtCreatePagingFile
0,71,0x819d1559,ntoskrnl,NtCreatePort
0,72,0x81acdf9f,ntoskrnl,NtCreateProcess
0,73,0x81acdfea,ntoskrnl,NtCreateProcessEx
0,74,0x81af656f,ntoskrnl,NtCreateProfile
0,75,0x81a83057,ntoskrnl,NtCreateSection
0,76,0x81a19f92,ntoskrnl,NtCreateSemaphore
0,77,0x81a12f8f,ntoskrnl,NtCreateSymbolicLinkObject
0,78,0x81acddd4,ntoskrnl,NtCreateThread
0,79,0x819f67ed,ntoskrnl,NtCreateTimer
0,80,0x81a16cb5,ntoskrnl,NtCreateToken
0,81,0x819e5f75,ntoskrnl,NtCreateTransaction
0,82,0x81ade07b,ntoskrnl,NtOpenTransaction
0,83,0x81ade28a,ntoskrnl,NtQueryInformationTransaction
0,84,0x819af2fc,ntoskrnl,NtQueryInformationTransactionManager
0,85,0x81add9b0,ntoskrnl,NtPrePrepareEnlistment
0,86,0x81add8ef,ntoskrnl,NtPrepareEnlistment
0,87,0x81adda71,ntoskrnl,NtCommitEnlistment
0,88,0x81addef5,ntoskrnl,NtReadOnlyEnlistment
0,89,0x81addfb4,ntoskrnl,NtRollbackComplete
0,90,0x81addb32,ntoskrnl,NtRollbackEnlistment
0,91,0x819b4b09,ntoskrnl,NtCommitTransaction
0,92,0x819b23dc,ntoskrnl,NtRollbackTransaction
0,93,0x81addcb4,ntoskrnl,NtPrePrepareComplete
0,94,0x81addbf3,ntoskrnl,NtPrepareComplete
0,95,0x81addd75,ntoskrnl,NtCommitComplete
0,96,0x81adde36,ntoskrnl,NtSinglePhaseReject
0,97,0x81adeb5f,ntoskrnl,NtSetInformationTransaction
0,98,0x81adf3c7,ntoskrnl,NtSetInformationTransactionManager
0,99,0x819afcee,ntoskrnl,NtSetInformationResourceManager
0,100,0x819bdb10,ntoskrnl,NtCreateTransactionManager
0,101,0x819aff72,ntoskrnl,NtOpenTransactionManager
0,102,0x81adf18f,ntoskrnl,NtRenameTransactionManager
0,103,0x81adf2fc,ntoskrnl,NtRollforwardTransactionManager
0,104,0x81add438,ntoskrnl,NtRecoverEnlistment
0,105,0x819bf38e,ntoskrnl,NtRecoverResourceManager
0,106,0x819bbd2f,ntoskrnl,NtRecoverTransactionManager
0,107,0x819bd664,ntoskrnl,NtCreateResourceManager
0,108,0x819af83c,ntoskrnl,NtOpenResourceManager
0,109,0x819bf403,ntoskrnl,NtGetNotificationResourceManager
0,110,0x81adef43,ntoskrnl,NtQueryInformationResourceManager
0,111,0x819b3b9c,ntoskrnl,NtCreateEnlistment
0,112,0x81add26f,ntoskrnl,NtOpenEnlistment
0,113,0x81add700,ntoskrnl,NtSetInformationEnlistment
0,114,0x81add493,ntoskrnl,NtQueryInformationEnlistment
