TreeDepth,Offset,Order,PID,Start,State,Type,Name,Display,Binary,Binary (Registry),Dll
0,0x15d4d70,251,1088.0,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_WIN32_SHARE_PROCESS,SstpSvc,Secure Socket Tunneling Protocol Service,C:\\Windows\\system32\\svchost.exe -k LocalService,%SystemRoot%\\system32\\svchost.exe -k LocalService,%SystemRoot%\\system32\\sstpsvc.dll
0,0x15d4d70,250,,SERVICE_DISABLED,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,SSDPSRV,SSDP Discovery,,%SystemRoot%\\system32\\svchost.exe -k LocalService,%SystemRoot%\\System32\\ssdpsrv.dll
0,0x15d4cd0,249,,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_FILE_SYSTEM_DRIVER,srvnet,srvnet,\\FileSystem\\srvnet,System32\\DRIVERS\\srvnet.sys,-
0,0x15d4c30,248,,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_FILE_SYSTEM_DRIVER,srv2,srv2,\\FileSystem\\srv2,System32\\DRIVERS\\srv2.sys,-
0,0x15d0920,247,,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_FILE_SYSTEM_DRIVER,srv,srv,\\FileSystem\\srv,System32\\DRIVERS\\srv.sys,-
0,0x15d0888,246,1424.0,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_INTERACTIVE_PROCESS,Spooler,Print Spooler,C:\\Windows\\System32\\spoolsv.exe,%SystemRoot%\\System32\\spoolsv.exe,-
0,0x15d4b90,245,,SERVICE_BOOT_START,SERVICE_RUNNING,SERVICE_KERNEL_DRIVER,spldr,Security Processor Loader Driver,\\Driver\\spldr,-,-
0,0x15d07f0,244,,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_OWN_PROCESS,SNMPTRAP,SNMP Trap,,%SystemRoot%\\System32\\snmptrap.exe,-
0,0x15d4af0,243,1620.0,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS,SNMP,SNMP Service,C:\\Windows\\System32\\snmp.exe,-,-
0,0x15d0758,242,,SERVICE_SYSTEM_START,SERVICE_RUNNING,SERVICE_KERNEL_DRIVER,Smb,Message-oriented TCP/IP and TCP/IPv6 Protocol (SMB session),\\Driver\\Smb,system32\\DRIVERS\\smb.sys,-
0,0x15d06c0,241,,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,SLUINotify,SL UI Notification Service,,%SystemRoot%\\system32\\svchost.exe -k LocalService,%SystemRoot%\\system32\\SLUINotify.dll
0,0x15d59c0,240,1056.0,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS,slsvc,Software Licensing,C:\\Windows\\system32\\SLsvc.exe,%SystemRoot%\\system32\\SLsvc.exe,-
0,0x15d0628,239,,SERVICE_DISABLED,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,SiSRaid4,SiSRaid4,,\\SystemRoot\\system32\\drivers\\sisraid4.sys,-
0,0x15d4a50,238,,SERVICE_DISABLED,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,SiSRaid2,SiSRaid2,,\\SystemRoot\\system32\\drivers\\sisraid2.sys,-
0,0x15d49b0,237,,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,sisagp,SIS AGP Bus Filter,,\\SystemRoot\\system32\\drivers\\sisagp.sys,-
0,0x15d4910,236,1000.0,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_SHARE_PROCESS,ShellHWDetection,Shell Hardware Detection,C:\\Windows\\system32\\svchost.exe -k netsvcs,%SystemRoot%\\System32\\svchost.exe -k netsvcs,%SystemRoot%\\System32\\shsvcs.dll
0,0x15d5910,235,,SERVICE_DISABLED,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,SharedAccess,Internet Connection Sharing (ICS),,%SystemRoot%\\System32\\svchost.exe -k netsvcs,%SystemRoot%\\System32\\ipnathlp.dll
0,0x15d5868,234,,SERVICE_DISABLED,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,sfloppy,High-Capacity Floppy Disk Drive,,\\SystemRoot\\system32\\drivers\\sfloppy.sys,-
0,0x15d4870,233,,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,sffp_sd,SFF Storage Protocol Driver for SDBus,,\\SystemRoot\\system32\\drivers\\sffp_sd.sys,-
0,0x15d47d0,232,,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,sffp_mmc,SFF Storage Protocol Driver for MMC,,\\SystemRoot\\system32\\drivers\\sffp_mmc.sys,-
0,0x15d4730,231,,SERVICE_DISABLED,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,sffdisk,SFF Storage Class Driver,,\\SystemRoot\\system32\\drivers\\sffdisk.sys,-
0,0x15d4690,230,1000.0,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_WIN32_SHARE_PROCESS,SessionEnv,Terminal Services Configuration,C:\\Windows\\system32\\svchost.exe -k netsvcs,%SystemRoot%\\System32\\svchost.exe -k netsvcs,-
